latitude,longitude,elevation,value_count,cdi_index,interpolation_flag,elevation_max,elevation_min,stdev
degrees_north,degrees_east,m,,,,m,m,m
41.37239583331105,9.248437499988421,-6.0,3,19296,0,-4.0,-7.5,1.472
41.37239583331105,9.249479166655089,-9.75,2,19296,0,-9.5,-10.0,0.25
41.37343749997772,9.239062499988414,-5.165,6,19296,0,-2.0,-7.0,1.624
41.37343749997772,9.240104166655081,-4.8020835,1,19296,1,NaN,NaN,NaN
41.37343749997772,9.241145833321749,-4.3,2,19296,0,-3.2,-5.4,1.1
41.37343749997772,9.242187499988416,-5.4,1,19296,0,-5.4,-5.4,0.0
41.37343749997772,9.243229166655084,-2.15,2,19296,0,0.1,-4.4,2.25
41.37343749997772,9.244270833321751,-1.5,4,19296,0,-0.7,-2.5,0.648
41.37343749997772,9.245312499988419,-2.52,1,19296,1,NaN,NaN,NaN
41.37343749997772,9.246354166655086,-2.5,1,19296,0,-2.5,-2.5,0.0
41.37343749997772,9.247395833321754,-1.75,2,19296,0,-1.0,-2.5,0.75
41.37343749997772,9.248437499988421,-0.3,1,19296,0,-0.3,-0.3,0.0
41.37343749997772,9.249479166655089,-5.2,3,19296,0,-1.1,-8.0,2.963
41.374479166644385,9.239062499988414,-4.335,3,19296,0,-2.0,-5.5,1.65
41.374479166644385,9.240104166655081,-3.198125,1,19296,1,NaN,NaN,NaN
41.374479166644385,9.241145833321749,-1.55,2,19296,0,-0.6,-2.5,0.95
41.374479166644385,9.242187499988416,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.374479166644385,9.243229166655084,-2.75,1,19296,1,NaN,NaN,NaN
41.374479166644385,9.244270833321751,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.374479166644385,9.245312499988419,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.374479166644385,9.246354166655086,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.374479166644385,9.247395833321754,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.374479166644385,9.248437499988421,-4.5,2,19296,0,-2.5,-6.5,2.0
41.374479166644385,9.249479166655089,-5.75,2,19296,0,-2.5,-9.0,3.25
41.37552083331105,9.239062499988414,-4.0,1,19296,0,-4.0,-4.0,0.0
41.37552083331105,9.240104166655081,-3.4245834,1,19296,1,NaN,NaN,NaN
41.37552083331105,9.241145833321749,-2.765,3,19296,0,-1.3,-3.9,1.087
41.37552083331105,9.242187499988416,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.37552083331105,9.243229166655084,-4.3,1,19296,0,-4.3,-4.3,0.0
41.37552083331105,9.244270833321751,-1.5,1,19296,0,-1.5,-1.5,0.0
41.37552083331105,9.245312499988419,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.37552083331105,9.246354166655086,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.37552083331105,9.247395833321754,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.37552083331105,9.248437499988421,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.37552083331105,9.249479166655089,-7.625,4,19296,0,-6.5,-8.5,0.893
41.376562499977716,9.239062499988414,-5.7,1,19296,1,NaN,NaN,NaN
41.376562499977716,9.240104166655081,-3.3,2,19296,0,-3.1,-3.5,0.2
41.376562499977716,9.241145833321749,-5.41625,1,19296,1,NaN,NaN,NaN
41.376562499977716,9.242187499988416,-6.1,1,19296,0,-6.1,-6.1,0.0
41.376562499977716,9.243229166655084,-5.5,1,19296,0,-5.5,-5.5,0.0
41.376562499977716,9.244270833321751,-5.6749997,1,19296,1,NaN,NaN,NaN
41.376562499977716,9.245312499988419,-6.2,2,19296,0,-4.5,-7.9,1.7
41.376562499977716,9.246354166655086,-1.7,1,19296,0,-1.7,-1.7,0.0
